70年,非共有,66102,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2017-04-22,2室1厅1厨1卫,平层,板楼,2000年建/板楼,私产,低楼层 (共6层),69.59㎡,富卓苑,丰台马家堡,2008-07-17,一梯两户,简装,460
70年,非共有,47627,无,无抵押,已上传房本照片,普通住宅,满五年,东南 南 北,自供暖,2019-01-03,3室1厅1厨2卫,平层,板楼,2003年建/板楼,一类经济适用房,底层 (共6层),128.08㎡,龙腾苑四区,昌平回龙观,2004-05-26,一梯两户,精装,610
70年,非共有,35461,无,有抵押 186万元 兴业银行 金融公司垫资,已上传房本照片,普通住宅,满五年,东北,集中供暖,2018-10-30,2室1厅1厨1卫,平层,板楼,2000年建/板楼,商品房,底层 (共6层),81.78㎡,西马庄园,通州通州北苑,2010-09-13,一梯三户,其他,290
70年,非共有,66566,有,有抵押 有抵押，后期核实清楚后再及时跟进 客户偿还,已上传房本照片,普通住宅,满五年,东南,集中供暖,2018-10-27,2室1厅1厨1卫,平层,塔楼,2001年建/塔楼,商品房,中楼层 (共24层),66.1㎡,兴隆家园,朝阳高碑店,2005-07-12,三梯十二户,简装,440
70年,非共有,55210,有,有抵押 40万元 建行 业主自还,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-10-16,3室1厅1厨2卫,平层,板楼,2007年建/板楼,商品房,中楼层 (共9层),112.3㎡,新龙城,昌平回龙观,2008-09-10,一梯三户,精装,620
70年,非共有,66125,有,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-10-16,2室2厅1厨2卫,平层,板塔结合,2012年建/板塔结合,商品房,中楼层 (共30层),98.3㎡,中堂,丰台岳各庄,2013-09-22,两梯三户,精装,650
70年,非共有,46562,有,无抵押,已上传房本照片,普通住宅,满五年,西南,集中供暖,2018-10-15,2室1厅1厨1卫,平层,板塔结合,2009年建/板塔结合,商品房,高楼层 (共18层),87.84㎡,彩虹新城,大兴枣园,2011-01-19,两梯五户,精装,409
70年,非共有,53390,无,有抵押 90万元 浦发银行,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-19,1室1厅1厨1卫,平层,板楼,1996年建/板楼,商品房,高楼层 (共6层),61.81㎡,龙华园,昌平回龙观,2013-08-02,一梯两户,精装,330
70年,非共有,48921,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-07-18,3室1厅1厨2卫,错层,板楼,2007年建/板楼,私产,中楼层 (共8层),139㎡,DBC加州小镇,通州临河里,2008-06-21,一梯两户,精装,680
70年,非共有,50984,无,有抵押 60万元 建设银行 业主自还,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-08-25,2室1厅1厨1卫,平层,板楼,1998年建/板楼,商品房,低楼层 (共6层),69.63㎡,佳运园一期,昌平立水桥,2013-03-20,一梯三户,精装,355
70年,非共有,28423,有,无抵押,已上传房本照片,普通住宅,满五年,东南,集中供暖,2018-07-16,3室2厅1厨2卫,平层,塔楼,2003年建/塔楼,一类经济适用房,高楼层 (共32层),197.03㎡,天通西苑三区,昌平天通苑,2005-01-27,三梯六户,简装,560
70年,非共有,73426,有,有抵押 150万元 花旗银行北京长安支行 客户偿还,已上传房本照片,普通住宅,满五年,西北,集中供暖,2018-07-15,3室2厅1厨2卫,平层,塔楼,1996年建/塔楼,商品房,高楼层 (共18层),134.83㎡,伯宁花园,朝阳农展馆,2011-09-20,两梯六户,精装,990
70年,共有,46308,无,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-07-15,2室1厅1厨1卫,平层,板楼,1976年建/板楼,商品房,中楼层 (共5层),43.19㎡,黄村西里,大兴黄村中,2013-09-03,一梯三户,简装,200
70年,共有,46909,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-07-14,2室1厅1厨1卫,平层,板楼,2003年建/板楼,一类经济适用房,底层 (共6层),101.9㎡,龙腾苑二区,昌平回龙观,2007-07-03,一梯两户,精装,478
70年,非共有,48920,有,有抵押 38万元 银行 客户偿还,已上传房本照片,普通住宅,满五年,西南,集中供暖,2018-07-12,3室1厅1厨1卫,平层,板塔结合,2012年建/板塔结合,商品房,中楼层 (共26层),89.74㎡,金隅万科城,昌平鼓楼大街,2013-03-04,两梯四户,精装,439
70年,非共有,53676,有,无抵押,已上传房本照片,普通住宅,满五年,东南,自供暖,2018-07-12,2室1厅1厨1卫,平层,塔楼,2004年建/塔楼,商品房,高楼层 (共13层),85.7㎡,建欣苑五里,丰台大红门,2013-09-30,两梯八户,简装,460
70年,非共有,87053,有,无抵押,已上传房本照片,普通住宅,满五年,西,集中供暖,2018-07-11,1室1厅1厨1卫,平层,板塔结合,2007年建/板塔结合,商品房,中楼层 (共23层),72.37㎡,格调,西城马连道,2009-06-02,两梯六户,精装,630
70年,非共有,51424,有,无抵押,已上传房本照片,普通住宅,满五年,西南,集中供暖,2018-07-11,3室2厅1厨2卫,平层,塔楼,2004年建/塔楼,商品房,底层 (共25层),137.68㎡,北苑家园莲葩园,朝阳北苑,2007-11-23,三梯八户,简装,708
70年,非共有,33745,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-07-09,3室2厅1厨1卫,平层,板楼,2002年建/板楼,商品房,中楼层 (共5层),120.02㎡,马坡花园二区,顺义马坡,2010-12-17,一梯两户,简装,405
70年,非共有,52863,有,有抵押 400万的抵押 客户偿还,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-07-07,3室1厅1厨2卫,平层,板塔结合,2002年建/板塔结合,商品房,中楼层 (共13层),134.31㎡,静馨嘉苑,丰台成寿寺,2004-03-04,两梯三户,简装,710
70年,非共有,30911,无,有抵押 30万元 公积金管理中心 业主自还,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-07-05,3室1厅1厨2卫,平层,板楼,2007年建/板楼,商品房,中楼层 (共6层),119.7㎡,天骄俊园,房山长阳,2010-01-05,一梯两户,简装,370
70年,非共有,58757,有,无抵押,已上传房本照片,普通住宅,满五年,西南 西北,集中供暖,2018-06-30,3室1厅1厨1卫,平层,塔楼,1998年建/塔楼,已购公房,中楼层 (共18层),88.16㎡,丰开苑,丰台马家堡,2000-07-21,两梯八户,精装,518
70年,非共有,90091,有,无抵押,已上传房本照片,普通住宅,满五年,西北,自供暖,2018-06-20,2室1厅1厨1卫,平层,塔楼,2002年建/塔楼,商品房,低楼层 (共26层),116.55㎡,锦秋知春,海淀知春路,2005-12-19,三梯七户,精装,1050
70年,共有,69802,有,暂无数据,已上传房本照片,普通住宅,满五年,东,集中供暖,2018-05-30,1室1厅1厨1卫,平层,板塔结合,2007年建/板塔结合,商品房,高楼层 (共26层),54.44㎡,远洋山水,石景山鲁谷,2009-06-14,三梯十四户,其他,380
70年,非共有,34815,无,有抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-06-10,3室2厅1厨2卫,平层,板楼,2004年建/板楼,一类经济适用房,顶层 (共6层),123.51㎡,瑞海家园二区,大兴西红门,2005-06-20,一梯两户,精装,430
70年,非共有,59202,有,无抵押,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-06-18,2室1厅1厨1卫,平层,板楼,2006年建/板楼,二类经济适用房,中楼层 (共27层),99.66㎡,清景园,海淀清河,2010-05-18,两梯四户,简装,590
70年,非共有,83628,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-06-02,3室2厅1厨2卫,平层,板楼,2003年建/板楼,商品房,顶层 (共5层),99.25㎡,百旺家苑,海淀马连洼,2004-02-19,一梯两户,简装,830
70年,非共有,53677,有,无抵押,已上传房本照片,普通住宅,满五年,东南 北,自供暖,2018-06-02,3室1厅1厨1卫,暂无数据,板楼,2006年建/板楼,一类经济适用房,低楼层 (共22层),111.78㎡,三环新城8号院,丰台玉泉营,2008-12-19,两梯四户,简装,600
70年,非共有,66900,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-05-29,3室1厅1厨2卫,平层,板楼,2004年建/板楼,商品房,中楼层 (共11层),134.53㎡,珠江骏景北区,丰台西罗园,2006-10-11,一梯两户,简装,900
70年,非共有,33232,暂无数据,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-05-29,2室1厅1厨1卫,平层,板楼,1984年建/板楼,已购公房,高楼层 (共6层),55.67㎡,明源南里,房山良乡,1998-03-03,一梯两户,简装,185
70年,非共有,75931,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-05-24,3室1厅1厨1卫,平层,板楼,2001年建/板楼,一类经济适用房,中楼层 (共6层),96.14㎡,玉海园三里,海淀玉泉路,2002-11-05,一梯两户,简装,730
70年,共有,39549,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-05-13,2室1厅1厨1卫,平层,板楼,2011年建/板楼,商品房,中楼层 (共11层),88.5㎡,翠林漫步,房山长阳,2013-05-23,一梯两户,简装,350
70年,非共有,54338,无,有抵押 50万元 交通银行 业主自还,已上传房本照片,普通住宅,满五年,西 北,集中供暖,2018-05-14,2室1厅1厨1卫,平层,板楼,1993年建/板楼,商品房,顶层 (共6层),53.37㎡,角门16号院,丰台马家堡,2012-04-01,一梯三户,精装,290
70年,非共有,44464,无,暂无数据,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-05-16,2室1厅1厨1卫,平层,板楼,1988年建/板楼,已购公房,高楼层 (共6层),59.6㎡,卢沟桥南里,丰台卢沟桥,1994-07-13,一梯两户,其他,265
70年,非共有,73261,有,有抵押 170万元 中信银行 客户偿还,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-05-08,2室1厅1厨1卫,平层,板塔结合,2009年建/板塔结合,商品房,高楼层 (共18层),90.09㎡,爱这城三期,朝阳十里堡,2012-07-13,两梯三户,精装,660
70年,非共有,116615,有,无抵押,已上传房本照片,公寓,满五年,东南 西北,集中供暖,2018-05-06,3室2厅1厨2卫,平层,塔楼,2005年建/塔楼,商品房,中楼层 (共32层),171.42㎡,新城国际,朝阳东大桥,2009-09-14,三梯三户,精装,1999
70年,非共有,46704,无,无抵押,已上传房本照片,普通住宅,满五年,东 东南 南,集中供暖,2018-09-23,3室1厅1厨1卫,平层,板楼,2003年建/板楼,商品房,中楼层 (共6层),111.34㎡,龙泽苑东区,昌平回龙观,2003-12-22,一梯三户,简装,520
70年,非共有,98546,有,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-09-28,2室2厅1厨1卫,平层,塔楼,2006年建/塔楼,商品房,低楼层 (共28层),104.52㎡,丽水莲花,西城广安门,2009-09-11,三梯十二户,精装,1030
70年,非共有,64239,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-09-24,4室2厅1厨2卫,平层,板楼,2007年建/板楼,商品房,底层 (共9层),151㎡,奥林匹克花园三期,朝阳东坝,2008-03-05,一梯两户,精装,970
70年,非共有,46593,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-09-22,3室1厅1厨1卫,平层,板楼,1996年建/板楼,商品房,低楼层 (共6层),106.24㎡,龙泽苑西区,昌平回龙观,2000-11-24,一梯两户,简装,495
70年,非共有,65276,有,有抵押 190万元 中信 客户偿还,已上传房本照片,普通住宅,满五年,西南,自供暖,2018-09-14,2室1厅1厨1卫,平层,板楼,2003年建/板楼,商品房,中楼层 (共15层),93.45㎡,西局欣园南区,丰台七里庄,2006-09-18,一梯三户,精装,610
70年,非共有,63993,有,无抵押,已上传房本照片,普通住宅,满五年,东南,集中供暖,2018-09-18,2室1厅1厨1卫,平层,塔楼,2002年建/塔楼,商品房,中楼层 (共24层),87.51㎡,庄维花园,丰台七里庄,2005-02-01,两梯九户,精装,560
70年,非共有,52046,有,无抵押,已上传房本照片,普通住宅,满五年,西北,自供暖,2018-09-13,2室2厅1厨1卫,平层,塔楼,2001年建/塔楼,私产,中楼层 (共18层),111.44㎡,利景名门,朝阳望京,2008-08-05,两梯八户,简装,580
70年,共有,38172,无,有抵押 工商银行 业主自还,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-09-10,2室1厅1厨1卫,平层,板楼,1995年建/板楼,商品房,顶层 (共6层),74.14㎡,同兴园,大兴西红门,2011-03-30,一梯三户,精装,283
70年,非共有,56171,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-26,2室1厅1厨1卫,平层,板楼,1983年建/板楼,商品房,中楼层 (共6层),63.2㎡,中建一局北院,丰台七里庄,2009-10-14,一梯三户,简装,355
70年,非共有,58737,有,无抵押,已上传房本照片,普通住宅,满五年,西 北,集中供暖,2018-09-14,3室2厅1厨2卫,平层,塔楼,2001年建/塔楼,一类经济适用房,高楼层 (共24层),141.31㎡,今日家园,海淀五棵松,2003-12-22,两梯十一户,精装,830
70年,非共有,36974,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-22,2室1厅1厨1卫,平层,板楼,2000年建/板楼,商品房,低楼层 (共6层),84.06㎡,长丰园一区,大兴科技园区,2003-01-10,一梯两户,简装,310.8
70年,非共有,71051,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-08-19,3室1厅1厨1卫,平层,板楼,2011年建/板楼,商品房,底层 (共6层),90.78㎡,青秀城,丰台玉泉营,2013-09-06,一梯两户,精装,645
70年,非共有,88106,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-10,2室2厅1厨1卫,平层,板塔结合,1999年建/板塔结合,央产房,低楼层 (共19层),113.5㎡,万寿园,海淀万寿路,2003-03-06,一梯两户,精装,1000
70年,共有,98206,有,无抵押,已上传房本照片,公寓,满五年,西南 东北,集中供暖,2018-08-09,2室1厅1厨2卫,平层,板塔结合,2004年建/板塔结合,商品房,中楼层 (共33层),147.65㎡,金地国际花园,朝阳CBD,2006-05-25,两梯四户,精装,1450
70年,非共有,49762,有,无抵押,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-08-09,2室1厅1厨1卫,平层,塔楼,2007年建/塔楼,二类经济适用房,顶层 (共28层),88.22㎡,新华街三里,丰台看丹桥,2011-11-21,三梯十二户,简装,439
未知,非共有,41914,暂无数据,无抵押,已上传房本照片,普通住宅,满五年,南 北,暂无数据,2018-08-09,2室1厅1厨1卫,平层,板楼,1994年建/板楼,已购公房,高楼层 (共6层),69.19㎡,玉桥东路36号院,通州玉桥,1998-08-08,一梯两户,简装,290
70年,非共有,88090,无,有抵押 10万元 有抵押10多万，可以自己还 业主自还,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-09,3室1厅1厨1卫,平层,板楼,1980年建/板楼,商品房,顶层 (共6层),68.68㎡,东花市大街2号院,东城东花市,2012-12-26,一梯两户,精装,605
70年,非共有,61669,有,无抵押,已上传房本照片,普通住宅,满五年,西北,集中供暖,2018-08-09,2室1厅1厨1卫,平层,板塔结合,2006年建/板塔结合,一类经济适用房,低楼层 (共28层),102.97㎡,朝阳雅筑,朝阳朝青,2008-06-23,两梯六户,精装,635
70年,非共有,109215,有,有抵押 交通银行 客户偿还,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-09,2室1厅1厨1卫,平层,板楼,2008年建/板楼,商品房,顶层 (共15层),91.38㎡,中铁翰庭,海淀学院路,2013-03-29,两梯两户,简装,998
70年,非共有,48784,有,有抵押 200万元 中国银行 客户偿还,已上传房本照片,普通住宅,满五年,东南,集中供暖,2018-08-08,3室1厅1厨1卫,平层,塔楼,1996年建/塔楼,商品房,底层 (共18层),87.12㎡,南三环东路,丰台刘家窑,2012-12-27,两梯八户,简装,425
70年,非共有,30516,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-08,2室2厅1厨2卫,平层,板楼,2005年建/板楼,商品房,高楼层 (共6层),111.42㎡,馨港庄园二区,顺义顺义其它,2006-07-26,一梯两户,简装,340
70年,非共有,55303,有,有抵押 20万元 中国农业银行 业主自还,已上传房本照片,普通住宅,满五年,西北,集中供暖,2018-08-06,2室1厅1厨1卫,平层,塔楼,2005年建/塔楼,一类经济适用房,高楼层 (共27层),111.75㎡,百环家园,朝阳双井,2007-02-02,四梯十二户,精装,618
70年,非共有,29463,无,有抵押 5万元 工商银行 业主自还,已上传房本照片,普通住宅,满五年,东北,自供暖,2018-08-05,2室2厅1厨1卫,平层,塔楼,2009年建/塔楼,商品房,底层 (共6层),93.34㎡,碧波园,房山长阳,2010-01-13,一梯两户,简装,275
70年,非共有,54940,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-08-04,2室1厅1厨1卫,平层,板楼,2005年建/板楼,商品房,低楼层 (共18层),100.11㎡,华龙美树,朝阳管庄,2006-08-31,两梯五户,简装,550
70年,非共有,45935,有,有抵押 50万元 农行 客户偿还,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-05,2室1厅1厨1卫,平层,板塔结合,2009年建/板塔结合,商品房,中楼层 (共18层),89.04㎡,北街家园五区,昌平沙河,2012-11-22,一梯两户,精装,409
70年,非共有,27028,无,有抵押 100万元 客户偿还,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-08-07,2室1厅1厨1卫,平层,板楼,2004年建/板楼,商品房,顶层 (共6层),91.76㎡,苏庄一里小区,房山良乡,2013-12-06,一梯一户,简装,248
70年,非共有,56183,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-08,3室1厅1厨1卫,平层,板楼,1992年建/板楼,已购公房,顶层 (共6层),73.51㎡,东大街东里,丰台七里庄,2000-08-01,一梯三户,简装,413
70年,非共有,43706,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-08-05,2室1厅1厨1卫,平层,板楼,1989年建/板楼,已购公房,底层 (共6层),61.32㎡,门头沟月季园,门头沟滨河西区,2005-11-03,一梯三户,精装,268
70年,非共有,43129,无,有抵押 270万元 客户偿还,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-08-01,2室2厅1厨1卫,平层,板楼,2004年建/板楼,一类经济适用房,底层 (共6层),115.7㎡,朝阳新城一区,朝阳东坝,2005-11-03,一梯两户,简装,499
70年,非共有,51900,有,暂无数据,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-07-29,2室1厅1厨1卫,平层,板塔结合,2011年建/板塔结合,限价商品房,高楼层 (共21层),74.76㎡,东泽园,朝阳东坝,2013-03-07,一梯四户,其他,388
70年,非共有,125675,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-09-02,3室2厅1厨2卫,平层,板塔结合,2004年建/板塔结合,商品房,高楼层 (共18层),163.12㎡,锦官苑,西城车公庄,2007-11-23,两梯三户,简装,2050
70年,非共有,98047,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-07-07,3室2厅1厨2卫,平层,板楼,2006年建/板楼,商品房,中楼层 (共15层),130.55㎡,融域嘉园,朝阳奥林匹克公园,2007-06-22,一梯两户,精装,1280
70年,共有,70060,无,无抵押,已上传房本照片,普通住宅,满五年,东南,集中供暖,2018-08-07,2室1厅1厨1卫,平层,板楼,1997年建/板楼,商品房,中楼层 (共6层),83.5㎡,玉海园一里,海淀玉泉路,2004-06-07,一梯四户,简装,585
70年,非共有,80038,有,有抵押 60万元 建设银行 客户偿还,已上传房本照片,普通住宅,满五年,西南 北,自供暖,2017-06-15,3室2厅1厨2卫,平层,塔楼,2002年建/塔楼,私产,底层 (共21层),149.93㎡,万科星园,朝阳奥林匹克公园,2003-02-10,两梯六户,精装,1200
70年,非共有,82348,有,有抵押 100万元,已上传房本照片,普通住宅,满五年,南 西 北,集中供暖,2018-05-25,3室2厅1厨2卫,平层,板楼,2010年建/板楼,商品房,中楼层 (共7层),153.01㎡,银谷美泉家园,朝阳朝青,2010-11-12,一梯两户,精装,1260
70年,非共有,106394,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-01-20,4室2厅1厨3卫,平层,板楼,2009年建/板楼,商品房,低楼层 (共18层),310.17㎡,泛海国际澜海园,朝阳朝阳公园,2011-04-21,三梯两户,精装,3300
70年,非共有,97603,有,无抵押,已上传房本照片,普通住宅,满五年,西南,自供暖,2018-09-05,2室1厅1厨1卫,平层,塔楼,2006年建/塔楼,商品房,高楼层 (共25层),87.6㎡,远见名苑,西城广安门,2007-05-21,三梯十二户,精装,855
70年,非共有,95791,有,无抵押,已上传房本照片,普通住宅,满五年,西南,集中供暖,2018-07-03,2室2厅1厨1卫,平层,塔楼,2010年建/塔楼,商品房,低楼层 (共22层),81.95㎡,大西洋新城E区,朝阳望京,2011-06-13,三梯九户,精装,785
70年,非共有,38497,有,暂无数据,已上传房本照片,普通住宅,满两年,西,自供暖,2018-12-21,2室1厅1厨1卫,平层,板塔结合,2012年建/板塔结合,二类经济适用房,中楼层 (共16层),88.84㎡,万源北路7号院,大兴旧宫,2015-12-21,两梯九户,其他,342
70年,非共有,35162,有,无抵押,已上传房本照片,普通住宅,满两年,南 北,集中供暖,2018-06-25,3室1厅1厨2卫,平层,板楼,2013年建/板楼,商品房,低楼层 (共18层),142.2㎡,天资璟庭,房山长阳,2015-08-20,一梯三户,精装,500
70年,非共有,69990,有,无抵押,已上传房本照片,普通住宅,满五年,东南,集中供暖,2018-05-03,3室2厅1厨3卫,平层,塔楼,1990年建/塔楼,商品房,顶层 (共25层),185.17㎡,汇园公寓,朝阳亚运村,1994-11-08,两梯四户,简装,1296
70年,非共有,55430,有,暂无数据,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-12-23,2室1厅1厨1卫,平层,塔楼,2000年建/塔楼,已购公房,高楼层 (共24层),61.7㎡,新华街五里,丰台看丹桥,2005-06-22,两梯十户,其他,342
70年,非共有,45423,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-12-01,3室2厅1厨2卫,平层,板楼,2000年建/板楼,商品房,中楼层 (共6层),142.88㎡,龙泽苑西区,昌平回龙观,2004-12-27,一梯两户,简装,649
70年,非共有,74369,有,无抵押,已上传房本照片,普通住宅,满五年,东南,集中供暖,2018-08-13,2室1厅1厨1卫,平层,塔楼,1997年建/塔楼,二类经济适用房,低楼层 (共18层),83.1㎡,罗庄西里,海淀知春路,2007-12-20,两梯十户,简装,618
70年,非共有,48612,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2019-01-09,2室1厅1厨1卫,平层,板楼,1994年建/板楼,已购公房,顶层 (共6层),57.6㎡,康静里,朝阳东坝,2006-07-19,一梯三户,简装,280
70年,非共有,39095,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-03-26,4室2厅1厨2卫,复式,板楼,2005年建/板楼,商品房,高楼层 (共7层),157.31㎡,龙博苑一区,昌平回龙观,2013-03-26,一梯两户,精装,615
70年,非共有,61788,有,无抵押,已上传房本照片,普通住宅,满五年,西南,自供暖,2018-12-30,1室1厅1厨1卫,平层,塔楼,2006年建/塔楼,一类经济适用房,低楼层 (共18层),52.6㎡,三环新城8号院,丰台玉泉营,2009-08-10,两梯八户,简装,325
70年,非共有,59707,有,有抵押 80万元 建设银行 业主自还,已上传房本照片,普通住宅,满五年,西,自供暖,2018-12-03,1室2厅1厨1卫,平层,塔楼,2005年建/塔楼,商品房,高楼层 (共18层),65.32㎡,三环新城7号院,丰台玉泉营,2012-09-11,两梯六户,精装,390
70年,非共有,89244,有,暂无数据,已上传房本照片,普通住宅,满五年,南,集中供暖,2018-11-03,2室1厅1厨1卫,平层,板塔结合,2003年建/板塔结合,商品房,中楼层 (共25层),71.49㎡,馨莲茗园,西城马连道,2005-04-14,四梯十二户,毛坯,638
70年,非共有,85622,有,有抵押 115万元 交通银行 业主自还,已上传房本照片,普通住宅,满五年,东南 西北,集中供暖,2018-11-10,2室2厅1厨2卫,平层,板楼,2010年建/板楼,商品房,中楼层 (共28层),147.16㎡,东湖湾二期,朝阳望京,2013-02-28,两梯三户,精装,1260
70年,非共有,64974,有,有抵押 60万元 公积金管理中心 客户偿还,已上传房本照片,普通住宅,满五年,东 西,集中供暖,2018-10-31,3室2厅1厨2卫,平层,板楼,2011年建/板楼,商品房,中楼层 (共11层),101.58㎡,中海城圣朝菲,朝阳成寿寺,2012-11-15,一梯两户,精装,660
70年,非共有,36913,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2019-01-13,3室2厅1厨2卫,平层,板楼,2007年建/板楼,一类经济适用房,高楼层 (共6层),124.62㎡,龙锦苑东五区,昌平霍营,2008-01-03,一梯两户,精装,460
70年,共有,76523,有,有抵押 40万元 工商银行 业主自还,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-10-29,2室1厅1厨1卫,平层,板楼,2009年建/板楼,商品房,中楼层 (共9层),73.05㎡,奥林匹克花园四期,朝阳东坝,2010-10-28,一梯四户,精装,559
70年,非共有,76159,有,无抵押,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-10-25,3室1厅1厨1卫,平层,板楼,2011年建/板楼,商品房,高楼层 (共11层),90.6㎡,青秀城,丰台玉泉营,2013-03-12,一梯两户,精装,690
70年,非共有,110812,有,无抵押,已上传房本照片,普通住宅,满五年,东 西,自供暖,2018-10-07,2室1厅1厨1卫,平层,板塔结合,2011年建/板塔结合,商品房,中楼层 (共26层),92.77㎡,红山世家,西城广安门,2012-07-30,两梯四户,精装,1028
70年,非共有,37442,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-10-02,3室2厅1厨1卫,平层,板楼,1995年建/板楼,商品房,高楼层 (共6层),108.97㎡,天竺花园,顺义天竺,2002-05-29,一梯两户,简装,408
70年,非共有,88039,有,无抵押,已上传房本照片,普通住宅,满五年,南 东北,集中供暖,2018-10-02,2室1厅1厨1卫,平层,塔楼,1996年建/塔楼,商品房,高楼层 (共18层),74.74㎡,马连道中里,西城马连道,2013-01-08,两梯八户,精装,658
70年,非共有,68748,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-04-08,3室1厅1厨1卫,平层,板楼,1996年建/板楼,商品房,顶层 (共6层),85.24㎡,兰园,海淀马连洼,2013-02-27,一梯两户,简装,586
70年,非共有,48775,无,无抵押,已上传房本照片,普通住宅,满五年,南 北,集中供暖,2018-04-10,3室1厅1厨1卫,平层,板楼,1995年建/板楼,已购公房,高楼层 (共6层),85.29㎡,东辰小区,昌平立水桥,1999-08-04,一梯两户,简装,416
70年,非共有,35502,有,无抵押,已上传房本照片,普通住宅,满五年,东 南 北,集中供暖,2018-03-31,3室2厅1厨2卫,平层,板楼,2001年建/板楼,商品房,低楼层 (共10层),179.71㎡,天通苑本五区,昌平天通苑,2002-03-14,一梯两户,简装,638
70年,非共有,32638,有,无抵押,已上传房本照片,普通住宅,满五年,南,自供暖,2018-03-25,2室2厅1厨1卫,平层,板塔结合,2009年建/板塔结合,商品房,低楼层 (共15层),91㎡,加州水郡三期,房山长阳,2013-01-21,两梯六户,精装,297
70年,共有,55755,无,有抵押 60万元 客户偿还,已上传房本照片,普通住宅,满五年,西,集中供暖,2018-03-10,1室1厅1厨1卫,平层,板楼,1994年建/板楼,商品房,顶层 (共6层),50.22㎡,双龙南里,朝阳华威桥,2011-11-10,一梯三户,精装,280
70年,非共有,41189,有,暂无数据,已上传房本照片,普通住宅,满五年,南 北,自供暖,2018-03-04,3室1厅1厨1卫,平层,板楼,2012年建/板楼,商品房,中楼层 (共15层),89.83㎡,长阳国际城三区,房山长阳,2014-01-13,一梯两户,毛坯,370
70年,非共有,49378,有,无抵押,已上传房本照片,普通住宅,满五年,东北,集中供暖,2018-03-07,2室1厅1厨1卫,平层,塔楼,2001年建/塔楼,商品房,中楼层 (共24层),120.5㎡,方安苑,丰台宋家庄,2007-03-28,两梯十户,简装,595
